Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,WS2812B,WS2812B-2020,149.69,-95.57,0.0,top
D2,WS2812B,WS2812B-2020,148.23,-98.09,0.0,top
D3,WS2812B,WS2812B-2020,154.3,-95.58,0.0,top
D4,WS2812B,WS2812B-2020,152.85,-98.09,0.0,top
D5,WS2812B,WS2812B-2020,151.4,-100.6,0.0,top
D6,WS2812B,WS2812B-2020,149.95,-103.11,0.0,top
D7,WS2812B,WS2812B-2020,156.02,-100.6,0.0,top
D8,WS2812B,WS2812B-2020,154.57,-103.11,0.0,top
J1,Conn_02x03_Odd_Even,Pin_Header_Straight_2x03_Pitch2.00mm_SMD,151.39,-99.37,180.0,bottom
